pid,s1_dwgt,s1_best_age_yrs,s1_age_intervals,s1_best_dob_m,s1_best_dob_y,s1_best_race,s1_best_gen,s1_empl,s1_locklevnat,s1_geo2011,s1_dc2011,s1_mdbdc2011,s1_prov2011,s1_intrv_c,s1_intrv_gen,s1_intrv_race,s1_intrv_dob_y,s1_intrv_lng1,s1_intrv_lng2,s1_intrv_lng3,s1_intrv_lng4,s1_intrv_lng5,s1_intrv_edu,s1_intrv_position,s1_intrv_years_exp_oth
"104223,2276.424467726778,50,3,-9,1971,1,1,0,1,-9,-9,""-9"",7,850,2,1,1990,4,11,6,10,,27,2,1"
"104280,5860.406664168729,24,1,1,1997,1,2,0,1,3,521,""DC21"",5,883,1,1,1986,3,11,,,,25,2,4"
"104303,4695.78012605152,43,2,5,1978,1,1,1,1,1,832,""DC32"",8,800,2,1,1980,2,11,3,6,1,12,2,0"
"104306,2682.034902646084,29,1,12,1992,1,1,1,1,2,748,""DC48"",7,805,2,1,1991,6,4,11,,,25,2,5"
"104309,6275.237387500658,-9,-9,-9,-9,1,2,0,1,-9,-9,""-9"",7,886,1,1,1997,4,11,3,,,12,2,0"
"104322,689.4339591776338,56,3,7,1965,3,1,1,1,2,299,""NMA"",2,878,2,4,1970,11,10,,,,26,2,0"
"104406,11712.57142214348,42,2,9,1979,1,2,0,1,2,742,""DC42"",7,873,1,1,1997,1,11,3,,,12,2,0"
"104472,4719.839530539262,47,2,1,1974,1,2,0,1,2,935,""DC35"",9,823,1,1,1995,6,11,1,3,,32,2,4"
"104484,16110.94029587878,46,2,2,1975,1,1,1,1,1,522,""DC22"",5,810,2,1,1993,6,4,5,11,,27,2,3"
"104498,1349.937977474141,36,2,10,1985,4,2,0,1,2,199,""CPT"",1,857,2,1,1987,2,5,11,,,29,2,5"
"104503,7524.928799727811,68,4,10,1953,1,2,0,1,2,831,""DC31"",8,839,2,1,1979,6,11,,,,12,2,0"
"104531,1353.03246479486,50,3,3,1971,1,1,0,1,-9,-9,""-9"",2,854,2,1,1991,4,11,6,3,,26,2,0"
"104549,13027.03033810609,27,1,12,1994,1,2,0,1,-9,-9,""-9"",5,854,2,1,1991,4,11,6,3,,26,2,0"
"104554,2811.266961823875,42,2,12,1979,1,1,-8,1,2,599,""ETH"",5,871,1,1,1994,2,3,11,6,,26,2,2"
"104566,4201.996475427875,48,2,3,1973,1,1,1,1,2,599,""ETH"",5,857,2,1,1987,2,5,11,,,29,2,5"
"104574,6312.09552679943,33,1,5,1988,1,2,0,1,2,309,""DC9"",3,841,2,1,1991,6,11,1,3,,33,2,0"
"104652,6112.159146691236,42,2,5,1979,1,1,1,1,-9,-9,""-9"",6,808,2,1,1995,4,6,11,3,,12,2,4"
"104724,942.9241264715912,31,1,5,1990,3,1,1,1,2,797,""EKU"",7,878,2,4,1970,11,10,,,,26,2,0"
"104741,20880.35497763434,28,1,2,1993,1,1,1,1,2,797,""EKU"",7,867,2,1,1997,4,6,11,1,3,32,2,0"
"104755,1237.964345483256,22,1,12,1999,1,1,1,1,3,799,""TSH"",7,875,1,1,1997,4,11,6,3,,12,2,0"
"104780,124.486997426649,26,1,11,1995,1,2,0,1,1,933,""DC33"",9,873,1,1,1997,1,11,3,,,12,2,0"
"104782,5577.523170273019,32,1,11,1989,1,1,0,1,2,299,""NMA"",2,857,2,1,1987,2,5,11,,,29,2,5"
"104807,264.5895257950387,25,1,9,1996,1,1,0,1,2,832,""DC32"",8,800,2,1,1980,2,11,3,6,1,12,2,0"
"104816,24674.8729221265,27,1,9,1994,1,2,0,1,-9,-9,""-9"",2,856,2,1,1986,3,11,5,9,,12,2,0"
"104837,1615.944425487535,42,2,-9,1979,1,1,1,1,2,599,""ETH"",5,855,2,1,1987,6,4,11,,,12,2,5"
"104850,11969.40788458378,26,1,6,1995,2,1,1,1,2,199,""CPT"",1,874,2,1,1986,2,11,6,,,25,2,0"
"104882,4324.185719509843,31,1,3,1990,1,2,0,1,1,832,""DC32"",8,846,2,1,1996,8,11,,,,25,-3,0"
"104884,1465.305399060988,18,1,1,2003,1,2,0,1,2,799,""TSH"",7,808,2,1,1995,4,6,11,3,,12,2,4"
"104890,13987.81540528042,33,1,1,1988,1,2,0,1,3,638,""DC38"",6,801,2,1,1988,2,3,11,,,11,2,1"
